"","Variable","Term","Beta","StandardError","Z","P","LRT","Wald","LogRank","HR","HRlower","HRupper"
"61","IL4R","X8649",-0.409532699414221,0.12099286002798,-3.38476749222651,0.000712385696812152,0.000619557601538398,0.000712385696812152,0.00077099496490505,0.663960446758848,0.523784809733729,0.841649980426725
"62","CNKSR3","X3936",-0.435053003020379,0.134753850389,-3.22850146221791,0.00124440622704849,0.00108717897806892,0.00124440622704849,0.00119576832508222,0.647230361004866,0.496999779493371,0.842871883431241
"63","DUOX1","X5272",-0.926076378191513,0.2846825446162,-3.25301426344921,0.00114187765255615,0.000640414616446725,0.00114187765255615,0.00135563545715164,0.396104830929526,0.226719000251635,0.692041853181983
"64","GUCA1A","X7712",-0.407323030331309,0.128553689778524,-3.16850516724224,0.0015322502527732,0.000901833486482308,0.0015322502527732,0.00146535332557114,0.665429201763973,0.517221722704881,0.856104844639116
"65","P2RY1","X15161",-1.33109895818529,0.419112960029597,-3.17599092638722,0.0014932562177225,0.000598898814379591,0.0014932562177225,0.00172184648821311,0.264186771496005,0.116188051683169,0.600704196536525
"66","C1QTNF3-AMACR","X2245",-0.937365265134471,0.305933436504694,-3.06395167473003,0.00218434191622213,0.0021419040242956,0.00218434191622213,0.00214280968748275,0.391658393162913,0.215028697643483,0.713375928962214
"67","SPOCK1","X19641",-0.273408649213895,0.0904701037362822,-3.02208837972457,0.00251037241955293,0.00361606076202496,0.00251037241955293,0.00249626877596417,0.760781831199946,0.637164895536415,0.908381799968238
"68","SLC6A16","X18812",-2.05853055875728,0.620130726765752,-3.31951066107206,0.000901753614833784,9.10077147913348e-05,0.000901753614833782,0.00255707069874877,0.127641393685132,0.0378560508126802,0.430375726789377
"69","NR4A3","X14408",-0.361541947620192,0.124874033322119,-2.89525322440396,0.00378852780152853,0.00138944920317062,0.00378852780152853,0.00336880790020632,0.696601374692725,0.545370141822536,0.889769054099951
"70","CD38","X3278",-0.461992574997721,0.162684557678487,-2.83980595079438,0.00451409842396553,0.00283924770854319,0.00451409842396553,0.00450382909718141,0.630027017876589,0.458017242183189,0.866635590752956
"71","CYP3A5","X4573",-0.24966454983558,0.0899269785744862,-2.77630310495513,0.00549809252119853,0.00349556785155747,0.00549809252119853,0.0051117401719725,0.779062075745022,0.653169776355163,0.929218925668903
"72","TNNT1","X21004",0.222807743330433,0.0827285727448644,2.69323809099879,0.00707617170619366,0.0194826793603827,0.00707617170619366,0.00543473048696488,1.24958031049177,1.06254048036538,1.46954490790954
"73","IGF2BP1","X8521",0.207895918138059,0.0760724133809863,2.73286870888233,0.00627853540732058,0.00483262645681586,0.00627853540732059,0.00598002872030812,1.23108502925839,1.06055963642506,1.42902887985896
"74","AGTR1","X432",-0.332902171051725,0.122907587661284,-2.70855670822502,0.00675765625318602,0.00357183838958495,0.00675765625318602,0.00636469038032615,0.716840318459985,0.563382426276103,0.912098102822221
"75","MAP7D2","X11578",0.524353894823607,0.192829243561995,2.71926542435991,0.00654270834641268,0.00514889762358723,0.00654270834641268,0.0068879053457997,1.68936698693332,1.1576771287585,2.46524764603477
"76","NEK6","X14090",-0.400804120390482,0.149035767781141,-2.68931496349966,0.00715988287640566,0.00655941994982691,0.00715988287640566,0.00724538348225519,0.669781244678085,0.500119175655656,0.897000030311577
"77","PCDHB2","X15379",-0.277623781261551,0.104112394636108,-2.66657761769765,0.00766279097778707,0.00576896447831099,0.00766279097778707,0.00734959135015054,0.757581784369979,0.617744507622061,0.929073675164643
"78","WASH7P","X22061",-0.719817162284578,0.268003842302079,-2.68584642705697,0.00723463329256318,0.00741174151527022,0.00723463329256319,0.0077044223523547,0.486841260766898,0.287913543263806,0.823213838773586
"79","SH2D3C","X18345",-0.553573030711842,0.227197980450796,-2.43652267336825,0.0148292397570904,0.0160232609773854,0.0148292397570904,0.0148618948359787,0.574892029435293,0.368294315618977,0.897382423491309
"80","SIX3","X18467",0.135363924086474,0.0569046353506134,2.37878554624663,0.0173697780065556,0.0167457171844496,0.0173697780065556,0.0168588731801029,1.14495338465584,1.02411916124042,1.28004464973302
"81","CEBPD","X3483",-0.20972708424011,0.0880601862449545,-2.38163343939245,0.0172360448611849,0.0161008119774323,0.0172360448611849,0.0171209174664929,0.810805497375755,0.682275408583093,0.963548658363643
"82","FRAS1","X6788",0.459274487100594,0.200030267861242,2.29602495667899,0.0216744544627912,0.0301008053452175,0.0216744544627912,0.0218215980492351,1.58292513568764,1.06953327986515,2.34275270565462
"83","FLVCR1","X6678",0.670607498395955,0.298113366799221,2.24950496382005,0.0244803873681259,0.0244116824066358,0.0244803873681259,0.024925813523968,1.95542487735642,1.09015080094177,3.5074839624767
"84","CLDN23","X3804",-0.541898693892753,0.24921937387578,-2.17438430032673,0.0296762861449985,0.0238283238162723,0.0296762861449984,0.029367618406081,0.581642841576647,0.356878571491883,0.947965000372825
"85","COL5A1","X4028",-0.165052899931052,0.0763741022796522,-2.1611108347525,0.0306867788280478,0.0324763183150785,0.0306867788280476,0.0305921885651765,0.847848851755783,0.729976169603907,0.984754989760357
"86","FRMD6","X6805",-0.31867242524973,0.154099882127094,-2.06796021418696,0.0386437644541317,0.0340840121691808,0.0386437644541317,0.0386643205578011,0.727113694385907,0.53756658679667,0.983495510228757
"87","PCDHA4","X15360",-0.222713110549262,0.108389341388537,-2.05475102714128,0.0399030585811641,0.0350255345521623,0.0399030585811641,0.0392538268941714,0.800344426734293,0.647166085834658,0.989778691166299
